record_id,redcap_data_access_group,redcap_survey_identifier,annual_survey_timestamp,start_date,host,host_other,facility_type,facitity_type_other,position,position_other_5,accreditation,support___1,support___2,support___3,support___4,support___5,support___6,support___7,support___8,host_other_2,staff_cost,staff_cost_currency,staff_other_dollars,ac_female_fte_con,ac_female_fte_ft,ac_female_fte_cas,ac_female_fte_cal,ac_male_fte_con,ac_male_fte_ft,ac_male_fte_cas,academic_male_fte,ac_other_fte_con,ac_other_fte_ft,ac_other_fte_cas,ac_other_fte_cal,pro_female_fte_con,pro_female_fte_ft,pro_female_fte_cas,pro_female_fte_cal,pro_male_fte_con,pro_male_fte_ft,pro_male_fte_cas,pro_male_fte,pro_other_fte_con,pro_other_fte_ft,pro_other_fte_cas,pro_other_fte_cal,ad_female_fte_con,ad_female_fte_ft,ad_female_fte_cas,ad_female_fte_cal,ad_male_fte_con,ad_male_fte_ft,ad_male_fte_cas,ad_male_fte,ad_other_fte_con,ad_other_fte_ft,ad_other_fte_cas,ad_other_fte_cal,staff_total_fte_cal,no_ms_q_ot_it,no_ms_q_ot_it_ionmob,no_ms_q_ot,no_ms_q_ot_ionmob,no_ms_qtof,no_ms_qtof_ionmob,no_ms_qqq,no_ms_qqq_ionmob,no_ms_tof_tof,no_ms_tof_tof_ionmob,no_ms_ft_icr,no_ms_ft_icr_ionmob,no_ms_it,no_ms_it_ionmob,no_ms_s_q,no_ms_s_q_ionmob,no_ms_other,no_ms_other_ionmob,no_ms_total,no_ms_q_ot_it_new19,no_ms_q_ot_new19,no_ms_qtof_new19,no_ms_qqq_new19,no_ms_tof_tof_new19,no_ms_ft_icr_new19,no_ms_it_new19,no_ms_s_q_new19,no_ms_other_new19,no_ms_q_ot_it_new19_fund,no_ms_q_o_new19_fund,no_ms_qtof_new19_fund,no_ms_qqq_qtrap_new19_fund,no_ms_tof_tof_new19_fund,no_ms_ft_icr_new19_fund,no_ms_it_new19_fund,no_ms_s_q_new19_fund,no_ms_other_new19_fund,ms_other_type,ms_fund_source_other_info,ms_fund_source_host,ms_fund_source_phil,ms_fund_source_state,ms_fund_source_fed,ms_fund_source_riip,ms_fund_source_charity,ms_fund_source_self,ms_fund_source_other,ms_fund_source_total,maintenance_cost,maintenance_cost_currency,maintenance_other_dollars,maintenance_warranty,maintenance_ful,maintenance_prev,maintenance_none,maintenance_other,ms_decom,ms_decom_model,soft_hdi,soft_scils,soft_byonic,soft_dia_nn,soft_ency,soft_mascot,soft_md,soft_mh,soft_mq,soft_metamorph,soft_msfragger,soft_openms,soft_peaks,soft_swath,soft_pqip,soft_pd,soft_pp,soft_scaf,soft_spec,soft_swathx,soft_tpp,soft_analyst,soft_cd,soft_chemstation,soft_ls,soft_lv,soft_pqi,soft_mlynx,soft_msdial,soft_metab_express,soft_freestyle,soft_gcimage,soft_insight,soft_multiq,soft_qual,soft_skyline,soft_sciexos,soft_targetlynx,soft_tf,soft_other,pricing_subscription,pricing_fee4service_per_sample,pricing_fee4service_per_hr,pricing_self_per_sample,pricing_self_per_hour,pricing_other,ms_fund_source_total_2,rates___1,rates___2,rates___3,rates___4,rates_other,rates_ac_int_to_ac_ex,rates_ac_int_to_com,rates_driver_prof,rates_driver_market,rates_driver_costs,rates_driver_subs,rates_driver_other,rates_other_what,customer_type_ac,customer_type_clinicians,customer_type_student,customer_type_comm,customer_type_other,customer_type_total,customer_type_other_what,customer_location_dept,customer_location_institute,customer_location_city,customer_location_state,customer_location_aus,customer_location_asia,customer_location_world,customer_type_total_2,signup_email,signup_excel,signup_project,signup_custom,signup_package,signup_job,signup_don_t,signup_other,signup_other_what,train_vendor_mat,train_vendor_live,train_inhouse_online,train_inhouse_group,train_inhouse_1to1,train_other,train_other_what,tracking_excel,tracking_custom,tracking_package,tracking_job,tracking_dont,tracking_other,tracking_other_what,satisfcation,marketing_budget,marketing_budget_other_what,marketing_plan,marketing_personnel,your_market___1,your_market___2,your_market___3,your_market___4,your_market___5,your_market___6,your_market___7,marketing_platforms___1,marketing_platforms___2,marketing_platforms___3,marketing_platforms___4,marketing_platforms___5,marketing_platforms___6,marketing_platforms___7,marketing_platforms___8,marketing_platforms___9,marketing_platforms___10,marketing_other,costs_user_fees,costs_charity,costs_state,costs_fed,costs_host,costs_philan,costs_other,costs_total,funding_applications,constraint_none,constraint_staff,constraint_services,constraint_price_up,constraint_price_down,constraint_subcontract,constraint_delay_equip,constraint_delay_infra,constraint_delay_projects,constraint_inc_util,revenue_currency,revenue_other_dollars,revenue_target,revenue_change,plan_fee4service,revenue,plan_self_service,plan_instrument_cap,plan_data,plan_staff,revenue_spend___1,revenue_spend___2,revenue_spend___3,revenue_spend___4,revenue_spend___5,revenue_spend___6,revenue_spend___7,revenue_spend_other_what,new_app_cetsa,new_app_flux,new_app_gly,new_app_hdx,new_app_clin,new_app_lipid,new_app_msi,new_app_meta,new_app_modi,new_app_proteomics,new_app_single,new_app_native,new_app_tails,new_instrument_2020,new_instrument_what,staff_change_this_year,staff_change_fte,user_change_this_year,user_change,fee4service_change_year,fee4service_change,fantasy_instrument,challenge,comments,email_for_results,annual_survey_complete
11,,,26/07/2022 10:54,13/07/2022,University,,Core facility,,Manager,,No - but we plan to apply for accreditation in 2022,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,1800000,,,2.8,2,0,4.8,2,5.1,0,7.1,0,0,0,0,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,4,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,13,,,,1,,,,,,,,,New,,,,,,,,0,0,0,0,100,0,0,0,100,150000,,,4,4,,,,Yes,2 x GC MSD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,MassHunter/Profinder,0,100,0,0,0,0,100,Checked,Checked,Checked,Unchecked,,50,150,5,1,4,NA,NA,,60,0,38,2,0,100,,0,50,25,0,24,0.5,0.5,100,1,NA,1,NA,1,3,NA,NA,,NA,NA,2,NA,2,NA,,NA,NA,1,4,NA,NA,,Yes,An ad hoc budget less than $10k per annum,,No,No,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,,20,0,0,50,30,0,0,100,No,NA,10,10,10,10,NA,1,1,NA,NA,,,Yes,Stayed the same,2,450000,,3,3,2,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,,Don't know,"Already do, a bit",No plans for,No plans for,No plans for,"Already do, a lot","Already do, a bit","Already do, a lot",Don't know,No plans for,Would like,No plans for,Don't know,Yes,"OrbiTrap IQX, LCQQQ, GCQQQ",stay the same,,stay the same,,stay the same,,Ion mobility instrument to enable extra level of separation,Interruption to service income due to ongoing COVID pandemic,,,Complete
12,,,14/07/2022 18:09,14/07/2022,University,,Core facility,,Director,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,850000,,,1,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,4,3,1,0,0,0,0,0,0,0,2,0,0,0,14,0,0,1,0,,,,0,,,,New,,,,,,,,,50,0,0,50,0,0,0,0,100,450000,,,2,8,,4,,No,,0,0,1,1,0,0,0,2,5,0,1,0,1,0,0,3,0,0,1,0,0,0,0,4,1,0,0,1,1,0,5,0,0,0,8,4,0,0,0,,100,0,0,0,0,0,100,Checked,Checked,Checked,Unchecked,,30,200,5,3,1,3,NA,,40,10,40,10,0,100,,30,40,10,10,5,5,0,100,4,6,NA,NA,NA,1,NA,NA,,6,6,2,1,1,NA,,NA,NA,NA,NA,1,NA,,Yes,No,,No,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,50,0,0,0,50,0,0,100,Yes,NA,NA,3,5,NA,NA,3,NA,NA,1,,,Yes,Stayed the same,0,560000,0,3,1,1,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,"Already do, a bit",No plans for,No plans for,"Already do, a lot",No plans for,"Already do, a lot",No plans for,No plans for,"Already do, a lot","Already do, a lot",Would like,"Already do, a lot","Already do, a lot",Yes,HDX system,stay the same,,stay the same,,stay the same,,Orbi eclipse etd,Replacing old toys,,,Complete
13,,,19/07/2022 13:11,19/07/2022,Research Institute,,Core facility,,Technical/Professional staff,,No - but we plan to apply for accreditation in 2022,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,250000,NZ Dollars,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,2,,,,Yes,QQQ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,,0,50,0,0,50,0,100,Checked,Unchecked,Unchecked,Unchecked,,,,5,1,1,NA,,,40,20,40,0,0,100,,0,100,0,0,0,0,0,100,1,,1,,,,,,,2,,,1,1,,,,,,,1,,,Yes,No,,No,Yes,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,45,0,0,0,55,0,0,100,No,,,1,,,,,,,,,,Yes,Stayed the same,1,110,1,1,1,1,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,,,"Already do, a bit",,,"Already do, a bit",,"Already do, a lot",,,,No,,stay the same,,stay the same,,stay the same,,,staffing,,,Complete
14,,,21/07/2022 11:02,21/07/2022,Research Institute,,Core facility,,Technical/Professional staff,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,,,,,0,4,0,4,1,6,0,7,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,,,,1,,,,,,,,,Seed/on loan,,,,,,,,40,0,0,0,0,60,0,0,100,63000,,,1,1,,,call out service contracts but no PM,No,,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,5,0,20,0,75,100,Checked,Checked,Checked,Unchecked,,125,250,5,2,1,4,3,,85,0,10,5,0,100,,20,20,5,0,15,0,40,100,1,2,NA,NA,NA,3,NA,NA,,6,NA,4,4,1,NA,,1,NA,NA,2,NA,NA,,No,No,,No,No,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,50,0,0,40,10,0,0,100,Yes,NA,5,10,5,10,NA,3,3,8,2,,,No,,1,,1,3,1,1,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,,No plans for,No plans for,No plans for,No plans for,No plans for,"Already do, a lot",No plans for,"Already do, a bit",No plans for,"Already do, a bit",No plans for,Don't know,No plans for,No,,stay the same,,stay the same,,stay the same,,Ion Mobility system,Physical lab space and consistency of funding,,,Complete
15,,,5/08/2022 18:33,21/07/2022,University,,Core facility,,Manager,,No - and we don't have plans for accreditation in 2022,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,,,,,0,3,0,3,0,3,2,5,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,6,,0,0,,,,,,,,,,,,,,,,MALDI-TOF,,0,0,0,0,0,0,0,0,0,0,,,2,,2,2,,No,,0,1,0,2,0,1,1,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,,0,100,0,0,0,0,100,Checked,Checked,Checked,Unchecked,,33,80,4,1,1,3,3,,35,15,20,30,0,100,,30,30,20,15,5,0,0,100,1,2,3,4,8,2,NA,NA,,3,6,6,4,2,2,"Publications, YouTube videos",1,3,5,2,NA,NA,,Yes,No,,No,No,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,0,0,50,50,0,0,0,100,Yes,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Would like,No plans for,"Already do, a lot",No plans for,Would like,"Already do, a bit","Already do, a lot","Already do, a bit","Already do, a bit","Already do, a lot",Would like,"Already do, a bit",No plans for,Yes,Sciex Xeno TOF 7600,go up,2,go up,20,go up,10,MALDI 2 Tims Tof flex with HR,retaining skilled staff,more coordination between the facilities should be  on the agenda,,Complete
16,,,22/07/2022 17:34,22/07/2022,University,,Core facility,,Academic staff,,No - but we plan to apply for accreditation in 2022,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,351545,,,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31000,,,2,1,,,,No,,0,0,0,0,0,0,0,0,6,0,3,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0,100,0,0,0,0,100,Checked,Unchecked,Checked,Unchecked,,,200%,2,3,3,2,2,,40,0,30,30,0,100,,50,10,25,0,0,0,15,100,8,4,4,1,1,8,1,1,,1,1,6,4,6,1,,5,1,4,5,NA,NA,,No,An ad hoc budget less than $10k per annum,,Yes,No,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,,12,0,0,88,0,0,0,100,Yes,1,8,8,3,5,1,7,9,1,8,,,Yes,Gone up,8,55000,0,5,5,5,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,,No plans for,"Already do, a lot",No plans for,No plans for,Would like,No plans for,No plans for,No plans for,"Already do, a bit","Already do, a lot",Would like,No plans for,No plans for,Yes,Viaflo 96 channel pipette,stay the same,,go up,15,go up,50,Tecan Fluent 1080 liquid handling robot; We have some flexibility to increase utilisation of MS instruments but sample prep quickly becomes limiting,Identifying and landing commercial & industrial clients,,,Complete
17,,,11/08/2022 8:09,25/07/2022,University,,Core facility,,Manager,,Yes - we have accreditation,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,,916000,,,0,0,0,0,0,5.5,0,5.5,0,0,0,0,1.8,0,0.2,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,,,,,,,,New,New,,,,,,,,,,0,0,90,0,0,0,0,10,100,180000,,,4,3,,1,,,,0,0,1,1,0,1,0,0,recommended,0,2,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,2,,0,0,70,0,30,0,100,Checked,Checked,Checked,Unchecked,,30,60,3,2,1,4,5,,65,0,25,10,0,100,,45,35,15,0,5,0,0,100,1,2,3,NA,NA,4,NA,NA,,NA,NA,NA,2,1,NA,,1,NA,NA,2,NA,NA,,Yes,An ad hoc budget less than $10k per annum,,No,No,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,60,0,20,20,0,0,0,100,No,NA,7,3,4,6,NA,1,2,5,1,,,Yes,Gone up,1,950000,1,2,1,2,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,"Already do, a bit",Definitely don't want,Would like,Getting this,"Already do, a bit","Already do, a lot",Definitely don't want,"Already do, a lot","Already do, a lot","Already do, a lot","Already do, a lot","Already do, a lot","Had it, shut it down",Yes,Exploris and Impact QTOF,go up,3,go up,10,stay the same,,"Thermo Eclipse state of the art, best quality data possible",Instrument renewal and funding retention ,,,Complete
18,,,25/07/2022 15:45,25/07/2022,University,,Core facility,,Manager,,No - and we don't have plans for accreditation in 2022,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,,0,0.5,0,0.5,0,0,0,0,0,0,0,0,,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,,,,,,New,,,,,,,,,,,100,0,0,0,0,0,0,0,100,0,,,,,,5,,Yes,Bruker UltrafleXtreme MALDI ToF/ToF,0,0,0,recommended,0,1,0,0,recommended,recommended,1,1,0,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,recommended,0,0,1,recommended,recommended,0,0,0,,0,0,0,0,0,100,100,Unchecked,Unchecked,Unchecked,Checked,Centrally supported - Users provide all consumables,,,NA,NA,NA,NA,NA,,35,5,60,0,0,100,,0,95,0,5,0,0,0,100,2,3,3,NA,1,2,NA,NA,,2,3,3,2,1,NA,,2,NA,2,1,NA,NA,,No,An ad hoc budget less than $10k per annum,,No,No,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,0,0,0,0,100,0,0,100,No,NA,4,3,NA,NA,NA,2,1,2,2,,,No,Stayed the same,2,0,1,2,2,2,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No user revenue,No plans for,Would like,"Already do, a bit",Would like,Would like,"Already do, a bit",Getting this,"Already do, a bit","Already do, a bit","Already do, a lot",Would like,"Already do, a bit",No plans for,Yes,,stay the same,,stay the same,,stay the same,,Tims Tof Flex,"Leveraging funds for new instrumentation, Funding levels, Staffing levels, moving to a service charge model ",,,Complete
19,,,[not completed],17/08/2022,University,,Core facility,,Technical/Professional staff,,Yes - we have accreditation,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,20,30,20,10,10,10,100,Checked,Checked,Checked,Unchecked,,20%,50%,1,3,2,3,3,,40,0,30,20,10,100,,50,30,10,10,0,0,0,100,1,2,4,5,6,6,,,,,,2,2,2,,,2,,,2,,,,No,No,,No,No,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,0,0,0,0,0,0,,No,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
20,,,4/08/2022 21:51,1/08/2022,University,,Core facility,,Academic staff,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,,45000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,6,,0,0,,0,,,,0,,,,,,,,,,TOF,,0,0,0,0,0,0,0,0,0,50000,,,,,,5,,No,,0,1,0,1,0,1,0,3,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,,0,30,0,10,60,0,100,Checked,Checked,Checked,Unchecked,,30,50,5,2,2,4,,,40,10,30,20,0,100,,40,30,25,0,5,0,0,100,2,NA,NA,NA,NA,2,,,,4,6,3,2,2,,,1,NA,NA,1,,,,No,No,,No,No,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,80,0,0,0,20,0,0,100,Yes,NA,2,2,2,NA,2,2,2,2,4,,,No,Stayed the same,1,15000,1,1,1,1,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,,Would like,No plans for,"Already do, a bit",Would like,No plans for,No plans for,"Had it, shut it down",No plans for,"Already do, a bit","Already do, a lot",Would like,"Already do, a lot",No plans for,No,,stay the same,,stay the same,,stay the same,,cyclic IMMS - flexibility of use and interest in structural MS,decreasing host institution financial and staff support,,,Complete
21,,,3/08/2022 11:00,3/08/2022,University,,Core facility,,Manager,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,,150000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,,,0,1,,,,,,,,,New,,,,,,,,100,0,0,0,0,0,0,0,100,120000,,,,2,,,,No,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,PLGS - 1 copy,0,50,50,0,0,0,100,Unchecked,Checked,Checked,Unchecked,,Infinite (free for internal users),Infinite (free for internal users),NA,NA,NA,1,NA,,30,0,69,1,0,100,,50,49,1,0,0,0,0,100,1,3,NA,8,1,1,NA,NA,,2,3,NA,1,1,NA,,3,NA,1,1,NA,NA,,,No,,No,No,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,0,0,0,0,100,0,0,100,No,NA,1,1,NA,NA,8,1,2,3,NA,,,No,,1,5000,1,3,1,3,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,,No plans for,No plans for,No plans for,Would like,"Already do, a bit","Already do, a lot","Already do, a bit","Already do, a lot","Already do, a bit","Already do, a lot",Would like,"Already do, a bit",No plans for,No,,stay the same,,go up,20,go up,50,Ion Mobility Qtof - very happy with current Ion Mobility Qtof instrument but need more capacity for metabolomics and proteomics analysis,Lack of funding for adequate staffing (due to impacts of Covid-19),,,Complete
22,,,[not completed],3/08/2022,University,,Core facility,,Technical/Professional staff,,Yes - we have accreditation,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,229100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,1.2,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,6,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,152000,,,,6,,,,No,,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,2,0,4,0,0,0,,10,10,30,0,50,0,100,Checked,Checked,Checked,Unchecked,,1-Feb,40,5,5,2,2,,,50,0,50,0,0,100,,65,22,4,3,5,1,0,100,2,3,NA,NA,NA,5,NA,,,NA,NA,NA,2,2,,,1,NA,NA,2,NA,,,No,No,,No,Yes,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,0,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
23,,,4/08/2022 17:12,4/08/2022,University,,Core facility,,Academic staff,,No - and we don't have plans for accreditation in 2022,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,450000,,,0,0,0,0,0,4,0,4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,4,2,4,1,0,0,0,0,1,0,1,0,0,0,12,,,1,2,,,,1,,,,New,New,,,,New,,,,100,0,0,0,0,0,0,0,100,0,,,4,5,,3,,Yes,Thermo GCMS ISQ,0,0,0,recommended,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,3,0,recommended,0,1,0,0,0,0,0,0,10,1,0,recommended,0,0,0,,80,0,20,0,0,0,100,Checked,Checked,Checked,Unchecked,,100,200,NA,2,1,NA,NA,,20,0,70,10,0,100,,30,30,30,10,0,0,0,100,NA,1,NA,NA,NA,2,NA,NA,,3,NA,2,2,1,NA,,1,NA,NA,2,NA,NA,,Yes,Yes - less than $10k per annum,,No,No,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,20,0,0,0,80,0,0,100,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,No,Stayed the same,0,60000,0,2,0,2,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,Don't know,Don't know,Don't know,Don't know,Would like,"Already do, a bit","Already do, a bit","Already do, a bit",No plans for,"Already do, a lot",Would like,No plans for,No plans for,Yes,cyclic IMS,stay the same,,go down,20,go down,50,"dedicated high res for metabolomics, most likely newest orbitrap",,,,Complete
